UNIQUEID,GRANTEEID,MODE,LtCallDt,LtCallST,CallDurS,CallDurM,TotalTime,LtCallR,LtCaseR,Date,HOUSEHOLD,HEALTHCARE,HEALTHCARE2,Q1,Q1 Num,Q2,Q2A,Q3_1,Q3_1B,Q3_2,Q3_2B,Q3_3A,Q3_3A2,Q3_3B,Q3_3B2,Q3_3C,Q3_3C2,Q3_3D,Q3_3D2,Q3_3E,Q3_3E2,Q3_3F,Q3_3F2,Q3_3G,Q3_3G2,Q3_3H,Q3_3H2,Q4_A,Q4_A2,Q4_B,Q4_B2,Q4_C,Q4_C2,Q4_D,Q4_D2,Q4_E,Q4_E2,Q4,Q5,Q6,Q7,Q8,EXPERIENCE,Q9,Q10,Q11A,Q11,Q13,Q14,Q15,Q16,INT99,Q12,INT
,13-IL-105,Online,20211130,09:00,473,8,473,,,12/31/2021,1,Yes,Yes,Average,3,Yes,Yes,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Average,No,Valid skip,Yes,Average,No,Valid skip,No,Valid skip,0,Yes,Satisfied,Satisfied,Satisfied,Both positive and negative comments,,,Yes,,Refused,Refused,Refused,Refused,,,
,20-ZZ-301,Online,20211231,00:30,567,9,567,,,12/31/2021,1,Yes,No,Average,3,Yes,Yes,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Average,Yes,Above Average,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,Yes,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-ZZ-301,Online,20211120,22:42,431,7,432,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Above Average,No,Valid skip,No,Valid skip,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,0,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Hispanic/Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,14-OH-265,Online,20211116,09:25,786,13,786,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Above Average,Yes,Above Average,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Average,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Above Average,Yes,Excellent,No,Valid skip,Yes,Above Average,1,No,Very Satisfied,Very Satisfied,Very Satisfied,Negative comments only,,,No,,White,Choose not to respond,Heterosexual or straight,Man,,,'CO': Completed
,20-CO-020,Online,20211102,19:27,624,10,624,,,12/31/2021,2,Yes,Yes,Excellent,5,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,0,Yes,Satisfied,Satisfied,Satisfied,Both positive and negative comments,,,No,,"American Indian, Alaska Native, or Indigenous",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-IN-451,IVR,20211207,22:37,456,8,460,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,1,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,18-CA-176,Online,20211204,12:57,750,13,750,,,12/31/2021,1,Yes,Yes,Below Average,2,Yes,Yes,Yes,Below Average,No,Valid skip,No,Valid skip,Yes,Below Average,No,Valid skip,No,Valid skip,Yes,Below Average,No,Valid skip,No,Valid skip,Yes,Below Average,Yes,Extremely Poor,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,1,Yes,Dissatisfied,Dissatisfied,Dissatisfied,Decline to provide comments,,,Yes,,"American Indian, Alaska Native, or Indigenous",Hispanic/Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,18-WI-080,Online,20211020,17:01,326,5,326,,,12/31/2021,1,Yes,No,Average,3,No,Valid skip,No,Valid skip,Yes,Average,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,3+,Yes,Neither satisfied nor Dissatisfied,Neither satisfied nor Dissatisfied,Neither satisfied nor Dissatisfied,Decline to provide comments,,,Yes,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Woman,,,'CO': Completed
,14-TN-285,Online,20211220,18:44,462,8,462,,,12/31/2021,2,Yes,Yes,Excellent,5,Yes,Yes,Yes,Above Average,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Above Average,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Woman,,,'CO': Completed
,13-NV-117,Online,20211215,12:44,538,9,538,,,12/31/2021,1,Yes,No,Average,3,No,Valid skip,Yes,Average,Yes,Average,Yes,Average,Yes,Below Average,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,0,No,Satisfied,Neither satisfied nor Dissatisfied,Satisfied,Both positive and negative comments,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,18-FL-187,Online,20211230,13:39,375,6,375,,,12/31/2021,1,No,Valid skip,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,21-NC-237,IVR,20211229,10:36,0,0,0,,,12/31/2021,1,No,Valid skip,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,2,No,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Positive comments only,,,Yes,,White,Non-Hispanic/Non-Latin(a)(o)(x),I choose not to respond,Woman,,,
,18-CA-011,IVR,20211027,11:36,767,13,,'CO': Completed,'CO': Completed,12/31/2021,3,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,I did not receive assistance,No,Valid skip,0,Yes,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Positive comments only,,,No,,"Black, African-American, or African",Choose not to respond,Heterosexual or straight,Man,'CO': Completed,1,'I0': Interrupted
,18-SC-069,Online,20211018,22:11,1451,24,1451,,,12/31/2021,1,Yes,Yes,Above Average,4,Yes,Yes,Yes,Above Average,No,Valid skip,Yes,Excellent,Yes,Above Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,1,Yes,Very Satisfied,Satisfied,Neither satisfied nor Dissatisfied,Both positive and negative comments,,,Yes,,White,Non-Hispanic/Non-Latin(a)(o)(x),Gay,Man,,,'CO': Completed
,12-CA-018,Online,20211124,11:00,674,11,674,,,12/31/2021,4+,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,0,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,Choose not to respond,Hispanic/Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,14-TN-285,Online,20211130,17:02,474,8,474,,,12/31/2021,1,No,Valid skip,Below Average,2,Yes,Yes,Yes,Excellent,Yes,Average,Yes,Average,Yes,Average,Yes,Average,Yes,Average,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Average,Yes,Average,No,Valid skip,No,Valid skip,0,No,Neither satisfied nor Dissatisfied,Neither satisfied nor Dissatisfied,Neither satisfied nor Dissatisfied,Decline to provide comments,,,No,,White,Choose not to respond,Heterosexual or straight,Man,,,'CO': Completed
,20-ZZ-301,Online,20211104,00:06,780,13,780,,,12/31/2021,1,Yes,Yes,Above Average,4,Yes,Yes,Yes,Above Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Above Average,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,0,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Both positive and negative comments,,,Yes,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,18-CA-354,Online,20211025,11:24,553,9,553,,,12/31/2021,4+,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Woman,,,'CO': Completed
,14-AZ-157,Online,20211220,11:11,434,7,434,,,12/31/2021,1,No,Valid skip,Average,3,No,Valid skip,Yes,Above Average,No,Valid skip,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,0,Yes,Very Satisfied,Very Satisfied,Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Woman,,,'CO': Completed
,14-IL-198,IVR,20211102,13:10,297,5,,'CO': Completed,'CO': Completed,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Above Average,Yes,Excellent,1,No,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Decline to provide comments,,,No,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,'CO': Completed,,'I0': Interrupted
,12-MD-042,Online,20211206,08:47,265,4,266,,,12/31/2021,4+,No,Valid skip,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,13-NV-117,Online,20211111,21:42,411,7,411,,,12/31/2021,2,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,No,Valid skip,Yes,Excellent,1,No,Very Satisfied,Very Satisfied,Very Satisfied,Decline to provide comments,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,13-MO-110,Online,20211127,17:01,306,5,306,,,12/31/2021,1,No,Valid skip,Above Average,4,No,Valid skip,Yes,Average,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,0,Yes,Very Satisfied,Very Satisfied,Satisfied,Decline to provide comments,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,15-GU-326,IVR,20211207,00:00,959,16,,'CO': Completed,'CO': Completed,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Above Average,Yes,Above Average,Yes,Above Average,Yes,Excellent,Yes,Above Average,Yes,Above Average,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,0,Yes,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Positive comments only,,,No,,Asian or Asian American,Choose not to respond,Heterosexual or straight,Man,'CO': Completed,1,'I0': Interrupted
,19-WA-078,Online,20211205,10:51,500,8,500,,,12/31/2021,2,Yes,No,Average,3,No,Valid skip,Yes,Below Average,Yes,Below Average,No,Valid skip,Yes,Extremely Poor,No,Valid skip,Yes,Average,Yes,Extremely Poor,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,2,No,Satisfied,Satisfied,Satisfied,Both positive and negative comments,,,No,,Choose not to respond,Choose not to respond,I choose not to respond,Man,,,'CO': Completed
,19-MN-046,Online,20211117,12:19,542,9,542,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,1,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,15-GA-325,Online,20211102,18:25,315,5,315,,,12/31/2021,2,Yes,Yes,Average,3,No,Valid skip,Yes,I did not receive case management,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,0,Yes,Neither satisfied nor Dissatisfied,Neither satisfied nor Dissatisfied,Neither satisfied nor Dissatisfied,Decline to provide comments,,,No,,Choose not to respond,Choose not to respond,I choose not to respond,I choose not to respond,,,'CO': Completed
,20-ZZ-026,Online,20211107,11:46,530,9,531,,,12/31/2021,2,Yes,Yes,Above Average,4,No,Valid skip,Yes,Below Average,Yes,Below Average,No,Valid skip,Yes,Below Average,Yes,Below Average,No,Valid skip,Yes,Extremely Poor,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Below Average,Yes,Extremely Poor,No,Valid skip,No,Valid skip,No,Valid skip,0,Yes,Satisfied,Satisfied,Dissatisfied,Negative comments only,,,Yes,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,21-TX-292,Online,20211105,23:30,558,9,558,,,12/31/2021,4+,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,0,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,Refused,,Refused,Refused,Refused,Refused,,,
,20-MA-211,Online,20211102,17:56,381,6,381,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Woman,,,'CO': Completed
,21-TX-074,Online,20211207,14:45,479,8,479,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,0,No,Very Dissatisfied,Very Dissatisfied,Very Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-AK-152,Online,20211117,13:36,378,6,378,,,12/31/2021,3,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Above Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,0,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Decline to provide comments,,,No,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,19-WA-078,Online,20211105,14:21,597,10,597,,,12/31/2021,1,No,Valid skip,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Extremely Poor,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,Yes,Excellent,Yes,I did not receive assistance,Yes,Average,No,Valid skip,Yes,I did not receive assistance,1,Yes,Very Satisfied,Very Dissatisfied,Very Satisfied,Positive comments only,,,No,,Choose not to respond,Choose not to respond,Heterosexual or straight,Man,,,'CO': Completed
